"","x"
"1",21.5
"2",22
"3",21.5
"4",22
"5",22
"6",22
"7",22
"8",22
"9",22
"10",22
"11",21.5
"12",21.5
"13",21.5
"14",21.5
"15",21.5
"16",21.5
"17",21.5
"18",21.5
"19",21.5
"20",21.5
"21",21
"22",21
"23",21
"24",21
"25",21
"26",21
"27",21
"28",20.5
"29",20.5
"30",20.5
"31",20.5
"32",20.5
"33",20.5
"34",20.5
"35",20
"36",20
"37",20
"38",20
"39",20
"40",20
"41",20
"42",19.5
"43",19.5
"44",19.5
"45",19.5
"46",19.5
"47",19.5
"48",19.5
"49",19.5
"50",19.5
"51",19.5
"52",19
"53",19
"54",19
"55",19
"56",19
"57",19
"58",19
"59",19
"60",19
"61",18.5
"62",19
"63",18.5
"64",18.5
"65",18.5
"66",18.5
"67",18.5
"68",18.5
"69",18.5
"70",18.5
"71",18.5
"72",19
"73",21
"74",22.5
"75",23
"76",22
"77",21.5
"78",21
"79",21.5
"80",21.5
"81",22
"82",21.5
"83",21.5
"84",21.5
"85",21.5
"86",21.5
"87",21.5
"88",21.5
"89",21.5
"90",21.5
"91",21
"92",21.5
"93",21.5
"94",21.5
"95",21.5
"96",22
"97",22
"98",22
"99",22.5
"100",22.5
"101",22
"102",22
"103",22
"104",21.5
"105",21.5
"106",22
"107",21.5
"108",21.5
"109",21.5
"110",21.5
"111",21.5
"112",21
"113",21.5
"114",21.5
"115",21.5
"116",21
"117",21
"118",21
"119",21
"120",21
"121",21
"122",21
"123",21
"124",21
"125",21
"126",20.5
"127",21
"128",20.5
"129",20.5
"130",20.5
"131",20.5
"132",20.5
"133",20.5
"134",20.5
"135",20.5
"136",20.5
"137",20.5
"138",20
"139",20
"140",20
"141",20
"142",20
"143",20
"144",20
"145",20
"146",20
"147",20
"148",19.5
"149",19.5
"150",19.5
"151",19.5
"152",19.5
"153",19.5
"154",19.5
"155",19.5
"156",19
"157",19.5
"158",19
"159",19
"160",19
"161",19
"162",19
"163",19
"164",19
"165",19
"166",19
"167",18.5
"168",19
"169",21
"170",22.5
"171",23
"172",22
"173",22
"174",21.5
"175",21.5
"176",22
"177",21.5
"178",21.5
"179",21.5
"180",21.5
"181",21
"182",21
"183",21.5
"184",21.5
"185",21.5
"186",21.5
"187",21.5
"188",21.5
"189",21
"190",21.5
"191",21.5
"192",21.5
"193",22
"194",21.5
"195",21.5
"196",21.5
"197",21.5
"198",21.5
"199",21.5
"200",22
"201",22
"202",22
"203",22
"204",22.5
"205",22
"206",22.5
"207",22.5
"208",22
"209",22
"210",22
"211",22
"212",22
"213",22
"214",21.5
"215",21.5
"216",21.5
"217",21.5
"218",21.5
"219",21.5
"220",21.5
"221",21
"222",21
"223",21
"224",21
"225",21
"226",21
"227",21
"228",21
"229",21
"230",20.5
"231",20.5
"232",20.5
"233",20.5
"234",20.5
"235",20.5
"236",20.5
"237",20.5
"238",20.5
"239",20
"240",20
"241",20
"242",20
"243",20
"244",20
"245",20
"246",20
"247",20
"248",20
"249",20
"250",20
"251",19.5
"252",19.5
"253",19.5
"254",19.5
"255",19.5
"256",19.5
"257",19.5
"258",19.5
"259",19.5
"260",19
"261",19.5
"262",19
"263",19
"264",19.5
"265",21.5
"266",23
"267",22
"268",21.5
"269",21
"270",21
"271",20.5
"272",20.5
"273",20.5
"274",20.5
"275",21
"276",21
"277",21.5
"278",22
"279",22
"280",22
"281",22
"282",22
"283",22
"284",22
"285",22
"286",21.5
"287",22
"288",22
"289",22
"290",22.5
"291",22.5
"292",22.5
"293",23
"294",23
"295",22.5
"296",22.5
"297",22.5
"298",22.5
"299",22
"300",22
"301",22
"302",22
"303",22
"304",21.5
"305",21.5
"306",21.5
"307",21.5
"308",21.5
"309",21.5
"310",21
"311",21.5
"312",21.5
"313",21
"314",21
"315",21
"316",21
"317",21
"318",20.5
"319",20.5
"320",20.5
"321",20.5
"322",20.5
"323",20.5
"324",20.5
"325",20.5
"326",20
"327",20
"328",20
"329",20
"330",20
"331",20
"332",19.5
"333",19.5
"334",19.5
"335",19.5
"336",19.5
"337",19.5
"338",19.5
"339",19.5
"340",19.5
"341",19
"342",19
"343",19
"344",19
"345",19
"346",19
"347",19
"348",19
"349",19
"350",19
"351",19
"352",18.5
"353",18.5
"354",18.5
"355",18.5
"356",18.5
"357",18.5
"358",18.5
"359",18.5
"360",18.5
"361",19.5
"362",20.5
"363",21.5
"364",21
"365",21
"366",21
"367",21.5
"368",21.5
"369",21.5
"370",21.5
"371",22
"372",22
"373",22
"374",22
"375",22.5
"376",23
"377",22.5
"378",22.5
"379",22.5
"380",22.5
"381",23
"382",23
"383",23
"384",23
"385",23.5
"386",23.5
"387",23
"388",23
"389",23
"390",23
"391",23
"392",22.9
"393",22.8
"394",22.7
"395",22.7
"396",22.6
"397",22.5
"398",22.4
"399",22.3
"400",22.2
"401",22.1
"402",22
"403",22
"404",21.9
"405",21.8
"406",21.7
"407",21.6
"408",21.5
"409",21.4
"410",21.3
"411",21.3
"412",21.2
"413",21.1
"414",21
"415",21
"416",21
"417",20.5
"418",20.5
"419",20.5
"420",20.5
"421",20.5
"422",20
"423",20
"424",20
"425",20
"426",20
"427",20
"428",20
"429",19.5
"430",19.5
"431",19.5
"432",19.5
"433",19
"434",19
"435",19
"436",19
"437",19
"438",19
"439",19
"440",19
"441",19
"442",18.5
"443",18.5
"444",18.5
"445",18.5
"446",18.5
"447",18.5
"448",18.5
"449",18.5
"450",18
"451",18
"452",18
"453",18
"454",18
"455",18
"456",18
"457",18
"458",17.5
"459",18
"460",17.5
"461",17.5
"462",18.5
"463",19
"464",18.5
"465",18.5
"466",18
"467",18
"468",18
"469",18
"470",18.5
"471",18.5
"472",18.5
"473",18.5
"474",19
"475",19.5
"476",19.5
"477",20
"478",20.5
"479",20.5
"480",21
"481",21
"482",21.5
"483",21.5
"484",21.5
"485",22
"486",22
"487",22
"488",22
"489",22
"490",22
"491",21.5
"492",21.5
"493",21
"494",21
"495",21
"496",21
"497",20.5
"498",20.5
"499",20.5
"500",20
"501",20
"502",20
"503",19.5
"504",19.5
"505",19.5
"506",19.5
"507",19.5
"508",19.5
"509",19
"510",19
"511",19
"512",19
"513",19
"514",18.5
"515",18.5
"516",18.5
"517",18.5
"518",18.5
"519",18.5
"520",18
